bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin;
89;1;0.0;0.0;0.199111;4.530599;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
228;1;-23.43;57.4;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
271;1;96.7;26.8;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
317;1;-0.0;-0.0;0.045946;-1.82203;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
659;1;-0.0;-0.0;0.174507;73.977052;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
792;1;295.3;41.9;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
913;3;0.0;0.0;0.0;0.0;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
955;1;244.2;152.7;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
1037;1;-0.0;0.0;0.0;0.55;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
1163;1;-0.0;-0.0;0.0;16.04;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
1317;1;149.3;-2.0;0.0;20.77;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
1367;1;0.0;-0.0;0.175687;-1.509401;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
1445;1;238.4;210.9;0.0;0.0;0;1.00000;0.00000;220.0;2;1.10000;0.90000;
1531;1;-0.0;0.0;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
1579;1;-0.0;0.0;0.0;16.56;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
1611;1;274.1;166.5;0.0;0.56;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
1616;1;0.0;0.0;0.0;14.45;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
1676;1;-0.0;0.0;0.171586;-1.4632;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
1815;1;63.66;9.7;0.0;0.0;0;1.00000;0.00000;220.0;2;1.10000;0.90000;
1968;1;118.4;137.0;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
2107;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
2154;1;-357.45;33.05;0.29;-5.6;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
2168;1;8.6;-1.48;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
2267;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
2268;1;0.0;-0.0;0.183167;22.675025;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
2299;1;402.1;110.2;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
2441;1;0.0;-0.0;0.242534;1.143584;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
2449;1;301.9;-103.2;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
2520;1;-0.0;-0.0;0.057433;3.80797;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
2870;1;-0.0;0.0;0.0;0.62;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
2908;1;203.8;61.0;0.0;0.6;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
3097;1;361.91;3.66;0.0;9.39;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
3242;1;296.1;82.3;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
3279;1;0.0;0.0;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
3493;1;226.3;61.1;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
3506;1;0.0;0.0;0.0;0.6;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
3659;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
4014;1;0.0;0.0;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
4423;1;-0.0;-0.0;0.0;0.33;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
4427;1;296.8;77.7;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
4495;1;336.3;104.4;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
4586;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
4665;1;390.5;62.5;0.0;0.0;0;1.00000;0.00000;150.0;2;1.10000;0.90000;
4929;1;37.0;8.7;0.070441;50.913893;0;1.00000;0.00000;380.0;2;1.10000;0.90000;
